#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg;Owner of a Dragon Egg;Propriétaire d'un Œuf de Dragon;;;Propietario de un huevo de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_egg_desc;Dragons lay large; scaled eggs to reproduce. Over the eons un-hatched eggs can become fossilized. Dragons have no fixed gender differentiation - according to Maester Aemon dragons are 'but now one and now the other; as changeable as flame'; presumably meaning that they are able to change from one sex to the other and back for whatever reason. This means the mating habits of dragons are not fully understood.\n\nUpon the death of an owner of a dragon egg; the order of precendence for inheritance is:\n1- The current heir; if the same dynasty\n2- A child of of the same dynasty\n3- A sibling of the same dynasty\n4- Any member of the same dynasty\n5- The current heir\n6- Any child\n7- Spouse\n8- Liege\n9 -Any vassal;Les dragons naissent dans de grands oeufs. Au bout d'un certain temps; les oeufs qui n'ont pas éclos peuvent se fossiliser. Les dragons n'ont pas un genre prédéterminé; selon mestre Aemon les dragons peuvent être d'un genre puis d'un autre; changeant telles les flammes. Cela veut sûrement dire qu'ils sont capables de changer de sexe mais la reproduction des dragons reste un mystère.\n\nA la mort du propriétaire; l'ordre de succession pour hériter de l'oeuf de dragon est le suivant:\n1- L'actuel héritier; si il est de la même dynastie\n2- Un enfant de la même dynastie\n3- Un frère ou une soeur de la même dynastie\n4- N'importe quel membre de la même dynastie\n5- L'actuel héritier\n6- N'importe quel enfant\n7- L'épouse(x)\n8- Le suzerain\n9 -N'importe quel vassal;;;Los dragones nacen de grandes huevos. Tras un largo tiepo; los huevos que no han eclosionado pueden fosilizarse. Los dragones no tienen un género predeterminado y pueden cambiar de sexo; según el Maestre Aemon. De todos modos; la reproducción de los dragones sigue siendo un misterio.;;;;;;;;;x;;;
dragon_intel_dynamic_desc;As you pass through these once green lands you observe the burned and ruined castles and holdfasts and the scorced ground that is the result of dragonfire.;Alors que vous traversez ces terres autrefois verdoyantes; vous découvrez des châteaux carbonisés et en ruine et un sol calciné. L’œuvre du feudragon.;;;Al pasar por estas tierras antaño verdes observas los castillos quemados y en ruinas y las tierras arrasadas; lo que denota el paso de fuego de dragón.;;;;;;;;;x;;;;;;;;;;;;;;
dragon_intel_dynamic_opt;Dragons are indeed powerful.;Les dragons sont sans conteste très puissants. ;;;Los dragones son muy poderosos.;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPfield_of_fire_decTERRAIN;[This.GetTitledFirstName] is NOT located in desert or mountain terrain\n;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPfield_of_fire_dec;Any enemy leader is in battle against you\n;Un meneur ennemi vous affronte\n;;;Te enfrentas a un líder enemigo\n;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.67;This war has already ended;Cette guerre est déjà terminée.;;;Esta guerra ya ha terminado.;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.1399;You will attempt to tame and mount [This.GetFirstName];Vous allez tenter de dompter et de monter [This.GetFirstName];;;Intentarás domar y montar a [This.GetFirstName];;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.1599;[This.GetFirstName] will be set free;[This.GetFirstName] va être libéré;;;[This.GetFirstName] será liberado;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.2799;You will begin a duel with [This.GetFirstName];Vous allez affrontez [This.GetFirstName] en duel;;;Te enfrentarás a [This.GetFirstName] en duelo;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_rel;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_rel_DESC;Dragons are magical creatures. They do not worship gods; but are worshipped as such by some.;Les dragons sont des créatures magiques. Ils ne croient pas en des dieux; mais certains voient en eux des divinités. ;;;Los dragones son criaturas mágicas. Ellos no creen en dioses; pero algunos los ven como deidades. ;;;;;;;;;x;;;;;;;;;;;;;
EVTDESCdragon.2699;Which dragon of [Root.Location.GetName] shall I face?;Quel dragon de [Root.Location.GetName] vais-je affronter ?;;;A que dragón de [Root.Location.GetName] me enfrentaré?;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.2698;You will face [This.GetFirstName];Vous allez affronter [This.GetFirstName];;;Te vas a enfrentar a [This.GetFirstName];;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.2699;[dragon_1.GetFirstNameWithNick];Celui là;;;Este;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.2699;[dragon_2.GetFirstNameWithNick];Celui là;;;Este;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.2699;[dragon_3.GetFirstNameWithNick];Celui là;;;Este;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.2699;[dragon_4.GetFirstNameWithNick];Celui là;;;Este;;;;;;;;;x;;;;;;;;;;;;;;;;
wounded_dragon;Wounded;Blessé;;;Herido;;;;;;;;;x;;;;;;;;;;;;;;;;
wounded_dragon_desc;This dragon has suffered a serious wound; but should recover in time.\nTaming Chance: §Gx1.5§!\nLife expectantcy: §Rx0.8§!;Ce dragon a subi une sérieuse blessure; mais devrait récupérer avec le temps.;;;Este dragón ha sufrido una lesión grave; pero debería recuperarse con el tiempo.;;;;;;;;;x;;;;;;;;;;;;;
wounded_dragon_death;of a serious wound;d'une sérieuse blessure;;;de una lesión grave;;;;;;;;;x;;;;;;;;;;;;;;;;
maimed_dragon;Maimed;Mutilé;;;Mutilado;;;;;;;;;x;;;;;;;;;;;;;;;;
maimed_dragon_desc;This dragon has been severely injured; and can no longer fly.\nTaming Chance: §Gx2§!\nLife expectantcy: §Rx0.05§!;Ce dragon a été sévèrement blessé et ne peut plus voler.;;;Este dragón ha sido gravemente herido y no puede volar.;;;;;;;;;x;;;;;;;;;;;;;;;
maimed_dragon_death;from a severe maiming;d'une sévère mutilation;;;de una severa mutilación;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.899;[From.GetFirstName]'s wound has finally healed; returning [From.GetHerHim] to full fighting strength.;La blessure de [From.GetFirstName] a finalement guéri; il a récupéré toutes ses forces.;;;La herida de [From.GetFirstName] se ha curado finalmente; ha recuperado todas sus fuerzas.;;;;;;;;;x;;;;;;;;;;;;;
EVTDESCdragon.898;[From.GetFirstName] has long been unable to fly; the severe injury [From.GetSheHe] suffered keeping [From.GetHerHim] grounded. Today though [From.GetSheHe] finally took the skys one again; and seems well on the way to recovery.;[From.GetFirstName] a longtemps été incapable de voler; la sévère blessure dont [From.GetSheHe] souffrait le(a) maintenait au sol. Mais aujourd'hui [From.GetSheHe] a finalement pu s'envoler à nouveau et semble bien parti sur le chemin de la guérison.;;;[From.GetFirstName] ha estado mucho tiempo sin poder volar; la herida grave que sufría lo mantenía en el suelo. Pero hoy; ha conseguido volar de nuevo y parece que va por buen camino para curarse del todo.;;;;;;;;;x;;;;;;;;;;;
EVTDESCdragon.897;The dragon [From.GetFirstName] has produced offspring of it's own; hatching a new dragon from a clutch of [From.GetHerHis] eggs.;Le dragon [From.GetFirstName] a donné naissance. Un nouveau dragon a éclos de l'un de ses œufs.;;;El dragón [From.GetFirstName] ha dado a luz. Un nuevo dragón ha eclosionado de uno de sus huevos.;;;;;;;;;x;;;;;;;;;;;;;;;
TOOLTIPdragon.67;[This.GetTitledFirstName] will be given the chance to surrender.\nUntil they answer [Root.GetTitledFirstName] may not raise their vassal levies.;[This.GetTitledFirstName] se verra accorder une chance de se rendre.\nJusqu'à sa réponse; [Root.GetTitledFirstName] ne pourra pas lever des troupes chez ses vassaux.;;;[This.GetTitledFirstName] se les dará la oportunidad de rendirse.\nHasta su respuesta; [Root.GetTitledFirstName] no podrá alzar las tropas de sus vasallos.;;;;;;;;;x;;;;;;;;;;;;;;
dragon_1;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_2;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_3;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_4;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_5;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_6;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_7;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_8;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_9;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_10;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_11;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_12;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_13;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_14;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_15;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_16;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_17;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_18;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_19;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_20;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
dragon_21;Dragon;Dragon;;;Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.2697;You were out riding in the lands of [Root.Location.GetName] when you came upon a sheltered valley. As you rounded a bend the dragon [From.GetFirstName] sprang out of nowhere before you! [From.GetSheHeCap] seems angered with your presence...;Vous chevauchiez dans la région de [Root.Location.GetName] lorsque vous êtes tombé sur une petite vallée encaissée. Alors que vous vous apprêtiez à partir; le dragon [From.GetFirstName] fit soudainement son apparition et se posa devant ! [From.GetSheHeCap] semble énervé(e) par votre présence...;;;Cabalgas por la región de [Root.Location.GetName] cuando te caes por un pequeño valle encajado. Cuando te preparabas para salir; el dragón [From.GetFirstName] apareció de repente y se posa delante tuya!. Parece enfadado por tu presencia...;;;;;;;;;x;;;;;;;;;;;;;;
EVTDESCdragon.2695;For days you have scoured the area in search of [From.GetFirstName]; searching what seems to be every inch of ground around [Root.Location.GetName]. However you can find no sign of [From.GetHerHim]; even the smallfolk have no idea where [From.GetSheHe] keeps [From.GetHerHis] lair.;Pendant des jours vous avez parcouru la région à la recherche de [From.GetFirstName]. Vous avez fouillé chaque recoin autour de [Root.Location.GetName]. Cependant vous ne trouvez aucun signe de(') [From.GetHerHim]; même le petit peuple n'a aucune idée de l'endroit où se trouve son repaire.;;;Durante días has recorrido la región en busca de [From.GetFirstName]. Has examinado cada rincón alrededor de [Root.Location.GetName]. Sin embargo; no has encontrado ninguna señal; y ni siquiera el pueblo llano tiene idea de donde podría tener su guarida.;;;;;;;;;x;;;;;;;;;;;
EVTOPTAdragon.2695;[From.GetSheHeCap] is a reclusive beast it seems;Voilà une bête bien discrète et solitaire…;;;Una bestia muy discreta y solitaria...;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.82;You are a Dragon rider; what type of Dragon shall you ride?;Vous êtes un chevaucheur de dragon; quel type de dragon devriez-vous chevaucher ?;;;Eres un jinete de dragón; qué tipo de dragón deberías montar?;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.82;A hatchling;Un dragonneau;;;Una cría de dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTBdragon.82;A young one;Un jeune;;;Un joven;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.82;An adult one;Un adulte;;;Un adulto;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTDdragon.82;A huge monster;Un monstre immense;;;Un monstruo inmenso;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTNAMEdragon.79;Storming of the Dragonpit;Assaut de la fosse à dragon;;;Asalto a Pozo Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.79;The peasants of [Root.GetName] have been in revolt for some time; and the guards are losing control. The mobs have been whipped into a frenzy; and have been convinced that the Dragons in the Dragon pit must die. Hundreds of them storm the pit's defenses and confront the dragons. The pit soon turns into a fiery hell where burning men stagger around screaming; the flesh sloughing off them; but for every one who died ten more appeared...;Les paysans de [Root.GetName] se révoltent depuis un certain temps et les gardes n'arrivent plus à contrôler la situation. La foule est déchaînée et est convaincue que les dragons de la fosse à dragon doivent mourir. Des centaines de paysans se ruent jusqu'à la fosse; brisent ses défenses et affrontent les dragons. Très vite; la fosse se transforme en un terrible enfer de flammes où des fous crient tandis que leur peau se détache. Mais pour chaque mort; dix nouveaux fous prennent le relais...;;;Los campesinos de [Root.GetName] se han rebelado y los guardias no consiguen controlar la situación. La multitud está desatada y está convencida de que los dragones de Pozo Dragón deben morir. Centenares de campesinos se agolpan en Pozo Dragón; rompiendo las defensas y enfrentándose a los dragones. Pronto; el Pozo Dragón se convierte en un infierno de llamas mientras los locos gritan al quemarse vivos. Pero por cada muerto; diez nuevos locos toman el relevo...;;;;;;;;;x;;;;;;
EVTOPTAdragon.79;Vermin! Drunks and fools!;Vermines ! Idiots d'ivrogne !;;;Gusanos! Borrachos y locos!;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.81;The peasants of [FromFrom.GetName] have been in revolt for some time; and the guards are losing control. The mobs have been whipped into a frenzy; and have been convinced that the Dragons in the Dragon pit must die. Hundreds of them storm the pit's defenses and confront the dragons. The pit soon turns into a fiery hell where burning men stagger around screaming; the flesh sloughing off them; but for every one who died ten more appeared...[From.GetFirstName] was eventually slain.;Les paysans de [FromFrom.GetName] se révoltent depuis un certain temps et les gardes n'arrivent plus à contrôler la situation. La foule est déchaînée et est convaincue que les dragons de la fosse à dragon doivent mourir. Des centaines de paysans se ruent jsuqu'à la fosse; brisent ses défenses et affrontent les dragons. Très vite; la fosse se transforme en un terrible enfer de flammes où des fous crient tandis que leur peau se détache. Mais pour chaque mort; dix nouveaux fous prennent le relais... [From.GetFirstName] finit par périr.;;;Los campesinos de [FromFrom.GetName] se han rebelado y los guardias no consiguen controlar la situación. La multitud está desatada y está convencida de que los dragones de Pozo Dragón deben morir. Centenares de campesinos se agolpan en Pozo Dragón; rompiendo las defensas y enfrentándose a los dragones. Pronto; el Pozo Dragón se convierte en un infierno de llamas mientras los locos gritan al quemarse vivos. Pero por cada muerto; diez nuevos locos toman el relevo...y [From.GetFirstName] acaba muriendo.;;;;;;;;;x;;;;;;
locked_in_dragonpit;Locked in Dragonpit;Enfermé à Fossedragon;;;Encerrado en Pozo Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
locked_in_dragonpit_desc;This dragon is chained up in the Dragonpit where it can do no harm.\nTaming Chance: §Gx5§!\nHatching Chance: §Gx5§!\nSize Growth: §Rx0.85§!\nLife expectantcy: §Rx0.8§!\n-Usually §Gprevents§! Dragons flying away to Dragonstone upon their owners death;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.86;Your dragon [From.GetFirstName] is a ravenous beast; [From.GetSheHe] regularly roams the lands of [From.Location.GetName] gorging on the livestock of the peasants. Hundreds of them have seeked audience with you in the past months to protest at this; their discontent growing all the while.;Votre dragon [From.GetFirstName] est une bête affamée; [From.GetSheHe] survole régulièrement les terres de [From.Location.GetName] et dévore le bétail des paysans. Durant les derniers mois; des centaines d'entre eux ont cherché à obtenir une audience auprès de vous pour protester contre ces ravages; leur mécontentement grandi.;;;Tu dragón [From.GetFirstName] es una bestia hambrienta que sobrevuela regularmente las tierras de [From.Location.GetName] y devora el ganado de los campesinos. Durante los últimos meses; cientos de ellos buscan obtener una audiencia para protestar contra esos estragos; su descontento crece.;;;;;;;;;x;;;;;;;;;
EVTOPTAdragon.86;So? [From.GetSheHeCap] is a dragon; what do they expect!?;Et alors? C'est un dragon; à quoi ils s'attendaient ?;;;Y qué? Es un dragón; qué esperan que haga?;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTBdragon.86;I shall offer them all just recompense;Je vais les dédommager;;;Les ofreceré una justa recompensa;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTCdragon.86;Offer them vague promises and apologies;Leur faire des excuses et de vagues promesses.;;;Ofreced excusas y vagas promesas.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.87;The dragon [From.GetFirstName] is a ravenous beast; [From.GetSheHe] regularly roams the lands of [From.Location.GetName] gorging on the livestock of the peasants. Hundreds of them have seeked audience with you in the past months to protest at this; their discontent growing all the while.;Le dragon [From.GetFirstName] est une bête affamée; [From.GetSheHe] survole régulièrement les terres de [From.Location.GetName] et dévore le bétail des paysans. Durant les derniers mois; des centaines d'entre eux ont cherché à obtenir une audience auprès de vous pour protester contre ces ravages; leur mécontentement grandi.;;;El dragón [From.GetFirstName] es una bestia hambrienta; sobrevuela regularmente las tierras de [From.Location.GetName]  y devora el ganado de los campesinos. Durante los últimos meses; cientos de ellos buscan obtener una audiencia para protestar contra esos estragos; su descontento crece.;;;;;;;;;x;;;;;;;;
EVTOPTDdragon.87;I shall take my men and force it into the Dragonpit;Je vais réunir mes hommes pour forcer la bête à regagner Fossedragon;;;Reuniré a mis hombres y obligaré a la bestia a encerrarse en Pozo Dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPdragon.2799;You confront [From.GetFirstName] and attempt to confine [From.GetHerHim] to the Dragonpit;Vous affrontez [From.GetFirstName] et tentez de le(a) capturer pour l'enfermer à Fossedragon.;;;Te enfrentas a [From.GetFirstName]e intentas capturarlo para encerrarlo en Pozo Dragón.;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPface_dragon_decOWNER;[This.GetTitledFirstName] isn't a dragon rider AND does not have a relative regent who is a dragon rider\n;[This.GetTitledFirstName] n'est pas un chevaucheur de dragon ET n'a pas un parent régent qui est un chevaucheur de dragon\n;;;[This.GetTitledFirstName] no es un jinete de dragón y no tiene ningún familiar cercano que sea jinete de dragón\n;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.798;[Root.PrimaryTitle.GetFOA]; your [From.GetRootRelation]; [From.GetTitledFirstName]; has managed to get [From.GetHerHim]self killed trying to hatch a dragon from [From.GetHerHis] egg.;[Root.PrimaryTitle.GetFOA]; votre [From.GetRootRelation]; [From.GetTitledName]; a trouvé le moyen de se tuer en tentant de faire éclore un dragon.;;;[Root.PrimaryTitle.GetFOA]; vuestro señor [From.GetTitledName]; ha conseguido matarse a si mismo tratanto de hacer nacer dragones.;;;;;;;;;x;;;;;;;;
EVTDESCdragon.798B;[Root.PrimaryTitle.GetFOA]; your [From.GetRootRelation]; [From.GetTitledFirstName]; tried to hatch a dragon from [From.GetHerHis] egg; but failed. [From.GetSheHeCap] also lost [From.GetHerHis] egg in the process.;[Root.PrimaryTitle.GetFOA]; votre [From.GetRootRelation]; [From.GetTitledFirstName]; a tenté de faire éclore un œuf de dragon mais a échoué. [From.GetSheHeCap] a également perdu son œuf dans la tentative.;;;[Root.PrimaryTitle.GetFOA]; vuestro [From.GetRootRelation]; [From.GetTitledFirstName]; ha intentado eclosionar un huevo de dragón pero no lo ha logrado y ha perdido el huevo en el intento.;;;;;;;;;x;;;;;;
EVTDESCdragon.798C;[Root.PrimaryTitle.GetFOA]; your [From.GetRootRelation]; [From.GetTitledFirstName]; tried to hatch a dragon from [From.GetHerHis] egg; but failed. [From.GetSheHeCap] managed to salvage [From.GetHerHis] egg however; and so may try again in the future.;[Root.PrimaryTitle.GetFOA]; votre [From.GetRootRelation]; [From.GetTitledFirstName]; a tenté de faire éclore un oeuf de dragon mais a échoué. [From.GetSheHeCap] a néanmoins réussi à sauver son oeuf et pourra donc faire une nouvelle tentative.;;;[Root.PrimaryTitle.GetFOA]; vuestro [From.GetRootRelation]; [From.GetTitledFirstName]; ha intentado eclosionar un huevo de dragón pero no lo ha logrado. Sin embargo; ha conseguido salvar el huevo y podrá intentarlo de nuevo.;;;;;;;;;x;;;;
EVTOPTAdragon.798;Fool;Imbécile;;;Tonto;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.2694;You approach the great dragon pit where [From.GetFirstName] is being held; but you are stopped at the entrance by the guards. 'Only kin of [From.Location.Owner.GetTitledFirstName] and House [From.Location.Owner.GetOnlyDynastyName] may enter here' they say.;Vous approchez de la grande fosse à dragon où est retenu [From.GetFirstName]; mais vous êtes stoppé à l'entrée par les gardes. 'Seuls les parents de [From.Location.Owner.GetTitledFirstName] et de la maison [From.Location.Owner.GetOnlyDynastyName] peuvent pénétrer ici' disent-ils.;;;Te acercas al Pozo Dragón donde está encerrado [From.GetFirstName]; pero los guardias te dan el alto. 'Únicamente los parientes de [From.Location.Owner.GetTitledFirstName] y de la casa [From.Location.Owner.GetOnlyDynastyName] pueden entrar' dicen.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.2694;They guard their dragons jealously it seems;Ils semblent jalousement garder leurs dragons.;;;Parece que vigilan celosamente a los dragones.;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.92;Whilst doing battle in [Root.Location.GetName]; [From.GetFirstName] has been unfortunately wounded. Despite this; [From.GetSheHe] will be able to continue fighting.;Lors d'une bataille à [Root.Location.GetName]; [From.GetFirstName] a malheureusement été blessé. Mais [From.GetSheHe] sera toujours capable de se battre.;;;Durante una batalla en [Root.Location.GetName]; [From.GetFirstName] ha sido lamentablemente herido. Pero todavía será capaz de combatir.;;;;;;;;;x;;;;;;;;;;;;
EVTDESCdragon.94;[From.GetFirstName] has suffered a serious injury whilst fighting in [Root.Location.GetName]; [From.GetSheHe] will not be able to fly for some time.;[From.GetFirstName] a souffert d'une sérieuse blessure lors d'une bataille à [Root.Location.GetName]; [From.GetSheHe] ne sera incapable de voler pendant quelques temps.;;;[From.GetFirstName] ha sufrido una grave lesión durante una batalla en [Root.Location.GetName]; no será capaz de volar durante un tiempo.;;;;;;;;;x;;;;;;;;;;;;;
EVTOPTAdragon.94;Will [From.GetSheHe] ever recover?;Arrivera-t-[From.GetSheHe] à recouvrir ses forces ?;;;Recuperará sus fuerzas ?;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTDESCdragon.96;This was a day when you made a solemn and lonely journey down into the crypts of Winterfell to pay your respects to the ancestors of House Stark. You wonder through the dark and chilly chambers; looking at the tombs and likenesses of the Lords of Winterfell with the direwolves curled at their feet.\n\n You felt the need to delve into the deepest and darkest levels of the cavernous vault; and so you arrived in a chamber that is partially collapsed; no doubt housing the tombs of ancient Kings in the North. In a far corner you notice a pile of rubble on top of hot spring; and a glimpse of coloured stone underneath. You dig this stone out only to find it is a petrified dragon egg! You are staggered; but then remember the dragon Vermax was in Winterfell during the rule of Cregan Stark...;Vous avez fait une visite solennelle solitaire aux cryptes de Winterfell pour honorer les ancêtres de la maison Stark. Vous vous êtes émerveillé devant les tombes et les représentations des seigneurs de Winterfell gardées par des loups géants sculptés à leurs pieds.\n\n Vous avez ressentis le besoin de vous aventurer dans les étages les plus bas et les plus sombres; aussi avez vous fini par tomber sur une pièce partiellement détruite par le temps; sans aucun doute utiliser pour les tombes des anciens rois du Nord. Dans un coin de la pièce assez éloigné; vous avez remarqué un tas de débris au-dessus d'une source chaude où trônait une pierre colorée. Vous vous approchez et ramassez la pierre... qui se trouve être un oeuf de dragon pétrifié ! Vous êtes stupéfié; avant de vous souvernir que le dragon Vermax avait séjourné à Winterfell du temps de Cregan Stark...;;;Haces una visita solemne a las criptas de Invernalia para honrar a los ancestros de la casa Stark. Estás maravillado observando las tumbas y estatuas de los señores de Invernalia guardados por lobos huargos gigantes a sus pies.\n\n Sientes la necesidad de adentrarte en las plantas más bajas y sombrías; y acabas cayendo a un cuarto parcialmente destruido por el tiempo; sin lugar a dudas utilizado por algún viejo rey del Norte. En una esquina lejana de la cámara; observas un montón de escombros debajo de una fuente termal presidida por una piedra de color. Te acercas y observas la piedra...que resulta ser un huevo de dragón petrificado! Estás estupefacto; antes de recordar que el dragón Vermax permaneció aquí durante tiempos de Cregan Stark...;;;;;;;;;x;;;
EVTTITLEdragon.96;The Crypts of Winterfell;Tragédie de Lestival;;;Las Criptas de Invernalia;;;;;;;;;x;;;;;;;;;;;;;;;;
EVTOPTAdragon.96;It must be from its clutch; a fine prize!;Je vais le garder pour la plus grande gloire de la maison [Root.GetOnlyDynastyName];;;Debe ser de su nidada; un buen premio!;;;;;;;;;x;;;;;;;;;;;;;;
EVTOPTBdragon.96;Sell it; I need the coin;Vendez-le; j'ai besoin d'argent.;;;Véndelo; necesito las monedas.;;;;;;;;;x;;;;;;;;;;;;;
face_the_dragon_pi;Face the Dragon;Faire face au dragon;;;Enfrentarse al dragón;;;;;;;;;x;;;;;;;;;;;;;;;;
face_the_dragon_pi_desc;[Root.GetFirstName] is currently wild; and can be approached in [Root.GetHerHis] lair.;[Root.GetFirstName] est sauvage; et peut être approcher dans son repaire.;;;[Root.GetFirstName] está en estado salvaje; y puede ser abordado en su guarida.;;;;;;;;;x;;;;;;;;;;;;;
TOOLTIPface_dragonGUARDIAN;[Root.GetFirstName] is either located in [Root.Liege.Capital.GetName] OR does NOT have guardian\n;[Root.GetFirstName] est soit à [Root.Liege.Capital.GetName] SOIT n'a PAS de tuteur\n;;;[Root.GetFirstName] está en [Root.Liege.Capital.GetName] O NO tiene guardián\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPface_dragonFOUND;[Root.GetFirstName] is NOT currently being pursued by another character\n;[Root.GetFirstName] n'est actuellement PAS dompté par un autre personnage\n;;;[Root.GetFirstName] NO está siendo perseguido por nadie\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPface_dragonDANY;[Root.GetFirstName] is NOT controlled by Daenerys Targaryen\n;[Root.GetFirstName] n'est PAS controlé par Daenerys Targaryen\n;;;[Root.GetFirstName] NO está controlado por Daenerys Targaryen\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPface_dragonILL;[This.GetTitledFirstName] is NOT ill; injured or incapable\n;[This.GetTitledFirstName] n'est PAS malade; blessé ou incapable\n;;;[This.GetTitledFirstName] No está enfermo; herido o incapaz\n;;;;;;;;;x;;;;;;;;;;;;;
TOOLTIPface_dragonFOUNDWILDDRAGON;[This.GetTitledFirstName] is NOT currently pursuing another dragon\n;[This.GetTitledFirstName] ne tente PAS de dompter un autre dragon\n;;;[This.GetTitledFirstName] NO está persiguiendo a otro dragón\n;;;;;;;;;x;;;;;;;;;;;;;;;;
TOOLTIPface_dragonRAN;[This.GetTitledFirstName] has NOT recently ran from a dragon\n;[This.GetTitledFirstName] n'a PAS récemment fui un dragon\n;;;[This.GetTitledFirstName] NO ha escapado de otro dragón recientemente\n;;;;;;;;;x;;;;;;;;;;;;;;;;
